store_name,pn_test,text_review,대기 시간,예약 없이 이용,데이트,연인・배우자,가족모임,아이,예약 후 이용,친목,친구,지인・동료,일상,부모님,친척・형제,반려동물,기타,나들이,회식,혼자,음식이 맛있어요,술이 다양해요,특별한 메뉴가 있어요,화장실이 깨끗해요,가성비가 좋아요,인테리어가 멋져요,친절해요,메뉴 구성이 알차요,비싼 만큼 가치있어요,대화하기 좋아요,컨셉이 독특해요,매장이 청결해요,건강한 맛이에요,재료가 신선해요,기본 안주가 좋아요,음식이 빨리 나와요,뷰가 좋아요,아늑해요,특별한 날 가기 좋아요,매장이 넓어요,반려동물과 가기 좋아요,고기 질이 좋아요,양이 많아요,현지 맛에 가까워요,사진이 잘 나와요,음악이 좋아요,오래 머무르기 좋아요,단체모임 하기 좋아요,혼술하기 좋아요,차분한 분위기에요,파티하기 좋아요
키보 에다마메,FALSE,주말에 갔는데도 웨이팅 없이 입장해서 넘 좋았어요😊 유린기 진짜 넘 맛있고요 청양고추랑 같이 먹으니까 매콤쌉싸름해서 진짜 맥주가 잘 넘어갑니당🩶 마파두부도 진짜 맛있고 면도 추가해서 먹었어요!! 그리고 기대 안했던 감자사라다는 명란이 올라가서 정말 특이했어요! 계속 손이가는 맛...💘 모든 메뉴가 넘 맛있었어서 또 가고 싶어요~ 흑백요리사 보고 온 후기 ㅋㅋ,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,"야끼사바 챠-항 13,000원고등어 진짜 맛있고요, 볶음밥도 무난합니다. 방송 전과 후 맛의 변화 없습니다.카라아게 마파두부 밥 14,000원아이 생일에 무려 한 시간 기다려 늦은 점심 먹었는데 맛있었대요. 기다릴 가치가 있었다고",60,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,흑백요리사를 본 친구가 추천으로 가봤는데 너무 맛있어요!!!! 마파두부 좋아하는데 앞으론 여기 자주 와야되겠어요 명란포테토 사라다도 강추합니다 간이 알맞아요 마파두부와 같이 곁들여 먹기 좋아요,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,⬇️풀영상 보시려면⬇️인스타 뚱스맛집 유튜브 뚱스뚱스20인진출한 흑백요리사 식당이라고 해서 갔는데 진짜 존맛런치메뉴 고등어볶음밥 가라아게마파두부밥 시오야끼소바각각의 개성이 다르고 넘맛있어요bts 맛집이더라구요👍,30,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,"오픈런했지만 흑백요리사 인기답게 웨이팅이 길고 대기마감도 빨랐어요! 요즘엔 오픈런이 필수같아요🥹🥹 메뉴 고민하다 유린기, 고등어 볶음밥, 마파두부 주문했는데 약간 자극적인듯하면서 너무 맛있더라구요🖤🤍 못 먹어본 다른 메뉴도 궁금해서 또 가고싶어요",45,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,중국을 제2의 고향이라고 할 만큼 마파두부에 진심인데 여기는 고등어밥이 미쳤습니다… 이렇게 부드러운 고등어는 처음봤고 밑에 깔려있는 밥도 정말 맛있어요!  재패니즈에 차이니즈 터치가 들어갔다고 보는게 맞을 것 같습니다 🥹 (물론 마파두부도 맛있음) 평일 오후 5시부터 대기하면 한 번에 들어갈 수 있는 인원 제외하고는 바로 웨이팅 리스트 작성하게끔 직원분이 안내해주셔요. 그리고 근처에있으면 전화주신답니다!  웨이팅 시스템도 마음에 들었고 직원분들 너무 친절하셔서 행복한 시간이었어요~ 또 올게용❤️,30,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,"재료도 신선하고 양도 많고, 주문 즉시 조리해서 나오니 시간은 좀 걸리지만, 따뜻하고 맛있어요. 마파두부는 마라향이 살짝 있어서 특이한데, 위에 곁들여진 치킨가라아게가 신의 한수 !고등어구이 볶음밥 특이하고 맛있어요. 강추합니다. 매장이 좀 좁고 시끄러운것이 단점이지만, 특이한 요리 맛볼수 있어서 좋았어요. 담에 또 방문하려고요.",45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,"흑백요리사 간귀님 이자카야답게 모든 메뉴가 간이 딱 맞아요. 아니 심지어 하이볼까지 간이 딱 맞다니.. 마파두부랑 유린기 에다마메 하이볼은 두번 드세요! 세번 드세요 ♥ 예약 없이 워크인이라 5:40에 도착했는데, 먹을 수 있어 좋았어요. 특히 직원분들도 친절하십니다.",45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,맛있을거라 예상은 했지만 이정도일줄이야!!!💯정말 색다르고 맛있었고 오너셰프이신 간귀셰프님 덕분에 열배는 더 만족된 식사였음ㅠㅠ지방에서 먼길 왔는데 시간아깝지않고 돈아깝지않은 후회없이 너무 잘왔고 너무너무 만족하고 행복해요ㅠㅠ매장도 아늑하고 아기자기한 인테리어 덕분인지 반주로 술도 술술 잘넘어가고 서버분들도 피곤하고 힘드실텐데 엄청 상냥하시고ㅠㅠ내가 마파두부를 좋아할수도 있다니🥹♥️그냥 고민할 필요도없고 남영동 근처가신다면 진짜 일부러 꼭 가세요!!! 간귀셰프님 진짜 매력터지심… 모두에게 널리널리 알리고싶은 200프로 내돈내산 찐리뷰임ㅠㅠ나 에다마메 꼭 또올거임!!!!,120,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
키보 에다마메,FALSE,두딸이 엄빠 모시고 숙대입구 맛집이라고 두시간가까이 기달려서 들어온 에다마에남영 정말 강추하고싶은 집이네요 특히 마파두부는 정말 맛있어서 다시오고 싶은데 넘 기달려서~기다리는데 자신 있으시면 꼭 방문하세요ㅎ,120,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
